,2515
A,Laptop Asus Zenbook UX325EA-KG656W i5 1135G7/8GB/512GB SSD/13.3''FHD OLED/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-zenbook-ux325ea-kg656w-i5-1135g7-htm
C,22.490.000
D,14 máy
E,304.1 x 203 x 13.9 mm
F,1.1 kg
G,Mặt bàn phím + kê tay: Kim loại
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,LPDDR4
S,4267 MHz
T,0
U,0
V,1
W,
X,13.3 inch
Y,OLED
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,OLED
AD,500 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 Card reader, 1 HDMI, 1 USB 3.0, 2 Thunderbolt"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Trắng
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,
BJ,Ergolift
BK,100% DCI-P3
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,400 MHz
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
