,14
A,"Laptop Dell Gaming G15 5515 R7 5800H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win 11/Office HS21"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-gaming-g15-5515-r7-5800h-rtx-3050ti-win-11-htm
C,32.990.000
D,3 máy
E,357x272x25 mm
F,2.81 kg
G,Vỏ máy: Nhựa
H,AMD
I,Ryzen 7
J,5800H
K,3.20 GHz
L,4.40 GHz
M,8
N,16
O,16 MB
P,4 GT/s
Q,16 GB (2 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,15.6 inch Chính:
Y,Wide-Viewing Angle (WVA) Chính:
Z,1920 x 1080 Pixels
AA,Màn hình phẳng
AB,120 Hz
AC,WVA
AD,250 nits
AE,16:09
AF,600:1
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,
AO,SSD
AP,Không
AQ,1 x 1
AR,0
AS,M2. PCIe 1
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 USB 3.0, 2 USB 2.0, Type C"
AV,802.11 ax
AW,v5.2
AX,Trước HD Webcam (720p Webcam)
AY,2
AZ,English International Backlit Keyboard
BA,Có
BB,LED
BC,Cam
BD,3 Cell
BE,180 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,Office Home & Student
BJ,Bản lề mở 135 độ
BK,45% NTSC
BL,Đơn sắc
BM,
BN,Lithium polymer
BO,
BP,Realtek ALC3254 with Nahimic 3D Audio for Gamers
BQ,2 quạt
BR,
BS,
BT,
BU,2280
BV,
BW,
BX,
