,3356
A,"Laptop MSI Gaming GF66 11UD-697VN i7 11800H/8GB/512GB/15.6""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-gaming-gf66-11ud-697vn-i7-11800h-htm
C,30.990.000
D,1 máy
E,
F,2.1 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,11800H
K,2.30 GHz
L,4.60 GHz
M,8
N,16
O,24 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,64 GB
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,
AH,Intel
AI,UHD
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,
AO,
AP,Không
AQ,1
AR,0
AS,
AT,512 GB
AU,"1 Jack 3.5 mm, 1 LAN, 1 Type C, 1 USB 2.0, 3 USB 3.0"
AV,
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,
BB,LED
BC,Đỏ
BD,3 Cell
BE,
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,350 MHz
BP,Realtek High Definition Audio
BQ,2 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
