,3803
A,"Laptop MSI Gaming GF63 10SC i7 10750H/8GB/512GB/NVD GTX1650 4GB/15.6""FHD/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/msi-gaming-gf63-10sc-i7-10750h-htm
C,22.990.000
D,1 máy
E,359 x 249.6 x 24.9 mm
F,1.86 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Kim loại, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,10750H
K,2.60 GHz
L,5.00 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,
X,15.6 inch
Y,"IPS LCD LED Backlit, True Tone"
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,Share
AL,NVIDIA
AM,GeForce GTX 1650 Max-Q
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,Đỏ
BD,3 Cell
BE,120 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,Bản lề đôi
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,300 MHz
BP,HD Audio
BQ,Cooler Boost
BR,
BS,
BT,
BU,
BV,
BW,
BX,
