,1604
A,Laptop Dell Vostro V3510 i5 1135G7/8GB/512GB/15.6FHD/MX350 2GB/Win 11+Office HS21
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/dell-vostro-v3510-i5-1135g7-win-11-htm
C,22.990.000
D,3 máy
E,358.5 x 235 x 18.9 mm
F,1.7 kg
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhựa, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,WVA Anti-glare LED Backlit Narrow Border
Z,1920 x 1080 Pixels
AA,LED
AB,60 Hz
AC,WVA
AD,220 nits
AE,16:09
AF,400:1
AG,Không
AH,Intel
AI,Iris Xe
AJ,1300 MHz
AK,Share
AL,NVIDIA
AM,GeForce MX350
AN,2 GB GDDR5
AO,SSD
AP,Không
AQ,2
AR,1
AS,M.2 NVMe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ac
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,Chiclet Keyboard
BA,Có
BB,
BC,
BD,3 Cell
BE,65 W
BF,Windows
BG,Windows 11 Home Single Language
BH,64 bit
BI,Office Home & Student
BJ,Ergolift
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium polymer
BO,400 MHz
BP,Realtek ALC3204
BQ,1 quạt
BR,
BS,
BT,
BU,
BV,
BW,
BX,
