,3144
A,"Laptop Asus TUF Gaming FX506LHB-HN188W i5 10300H/8GB/512GB/15.6""FHD/GTX 1650 4GB/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-tuf-gaming-fx506lhb-hn188w-i5-10300h-htm
C,19.990.000
D,9 máy
E,359 * 256 * 24.9 mm
F,2.3 kg
G,Vỏ máy: Nhựa
H,Intel
I,Core i5
J,10300H
K,2.50 GHz
L,4.50 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB (1 thanh 8 GB)
R,DDR4
S,2933 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,
AE,16:09
AF,
AG,Không
AH,Intel
AI,UHD
AJ,
AK,
AL,NVIDIA
AM,GeForce GTX 1650
AN,4 GB GDDR6
AO,SSD
AP,
AQ,2
AR,1 HDD
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 2.0, 2 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,HD Webcam (720p Webcam)
AY,
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,3 Cell
BE,200 W
BF,Windows
BG,Windows 11
BH,
BI,Office 365
BJ,
BK,45% NTSC
BL,SRGB
BM,
BN,Lithium-ion
BO,
BP,DTS Studio Sound
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
