,1003
A,Laptop Lenovo IdeaPad Gaming 3 15IHU6 i5 11300H/8GB/512GB/NVIDIA GeForce RTX 3050 4GB/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/lenovo-gaming-3-15ihu6-i5-11300h-rtx3050-4gb-htm
C,25.490.000
D,2 máy
E,24.4 x 356.67 x 251 mm
F,2.25 kg
G,Mặt bàn phím + kê tay: Nhựa ABS
H,Intel
I,Core i5
J,11300H
K,3.00 GHz
L,4.40 GHz
M,4
N,8
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,16 GB
X,15.6 inch
Y,IPS LCD
Z,1920 x 1080 Pixels
AA,LED
AB,120 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,800:1
AG,Không
AH,Intel
AI,
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB
AO,
AP,
AQ,3
AR,2
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 2 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,2
AZ,
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,45 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,Lenovo Vantage
BJ,Bản lề đôi
BK,45% NTSC
BL,Đơn sắc
BM,
BN,Lithium polymer
BO,
BP,Stereo speakers with high dynamic range
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
