,3997
A,"Laptop Microsoft Surface Pro 7 i7 1065G7/16GB/256GB SSD/12.3""Touch/Win 10"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/microsoft-surface-pro-7-i7-1065g7-htm
C,37.990.000
D,2 máy
E,201 x 8.5 x 292 mm
F,0.775 kg
G,"Khung màn hình: Kim loại, Mặt bên ngoài cùng: Hợp kim Magie, Mặt lưng máy: Kim loại"
H,Intel
I,Core i7
J,1065G7
K,1.30 GHz
L,3.90 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,16 GB
R,LPDDR4X
S,3733 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,12.3 inch
Y,
Z,2736 x 1824 Pixels
AA,LED
AB,60 Hz
AC,IPS Glossy
AD,395 nits
AE,3:2
AF,
AG,Có
AH,Intel
AI,Iris Plus
AJ,1100 MHz
AK,Share
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,
AR,0
AS,M2. PCIe
AT,256 GB
AU,"1 Card reader, 1 DC-in jack, 1 Jack 3.5 mm, 1 Type C, 1 USB 3.0"
AV,802.11 ax
AW,v5.0
AX,"Sau 5.0 MP, Trước 5.0 MP"
AY,2
AZ,Chiclet Keyboard
BA,Không
BB,Không
BC,
BD,4 Cell
BE,65 W
BF,Windows
BG,Windows 10
BH,64 bit
BI,
BJ,
BK,95% sRGB
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,300 MHz
BP,Dolby Audio
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
