,1580
A,Laptop Asus TUF Gaming FX506HCB-HN144W i5 11400H/8GB/512GB/15.6''FHD/NVIDIA GeForce RTX 3050 4GB/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-gaming-tuf-fx506hcb-hn144w-i5-11400h-htm
C,23.990.000
D,5 máy
E,359 x 256 x 24.4 mm
F,2.3 g
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Kim loại, Mặt lưng máy: Nhựa"
H,Intel
I,Core i5
J,11400H
K,2.70 GHz
L,4.50 GHz
M,6
N,12
O,12 MB
P,8 GT/s
Q,8 GB
R,DDR4
S,
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,1000:1
AG,Không
AH,Intel
AI,UHD
AJ,1450 MHz
AK,
AL,NVIDIA
AM,GeForce RTX 3050
AN,4 GB
AO,SSD
AP,Có
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,2
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,
BD,3 Cell
BE,180 W
BF,Windows
BG,Windows 10 Home Single Language
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,350 MHz
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
