,3769
A,Laptop Asus ROG Strix Gaming G513IH-HN015W R7 4800H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-rog-strix-g513ih-hn015w-r7-4800h-htm
C,21.990.000
D,1 máy
E,22.6  x 356 x 260 mm
F,2.1 g
G,"Khung màn hình: Nhựa, Mặt bàn phím + kê tay: Nhựa, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhựa"
H,AMD
I,Ryzen 7
J,4800H
K,2.90 GHz
L,4.20 GHz
M,8
N,16
O,8 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,2
U,1
V,0
W,32 GB
X,15.6 inch
Y,Anti-glare LED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,250 nits
AE,16:09
AF,
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,
AL,NVIDIA
AM,GeForce GTX 1650
AN,4 GB
AO,SSD
AP,
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 3.0"
AV,802.11 ax
AW,v5.1
AX,
AY,2
AZ,Backlit Chiclet Keyboard
BA,Không
BB,LED
BC,RGB 4 Zone
BD,4 Cell
BE,150 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,RGB 4 Zone
BM,
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
