,2818
A,"Laptop Asus Vivobook Pro M3401QA-KM040W R7 5800H/8GB/512GB SSD/14"" 2.8K OLED/Win11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-pro-m3401qa-km040w-r7-5800h-htm
C,20.990.000
D,1 máy
E,319 x 228 x 19.5 mm
F,1.4 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Nhựa ABS, Mặt bên ngoài cùng: Nhôm, Mặt lưng máy: Nhựa ABS"
H,AMD
I,Ryzen 7
J,5800H
K,3.20 GHz
L,4.40 GHz
M,8
N,16
O,16 MB
P,
Q,8 GB
R,DDR4
S,3200 MHz
T,0
U,0
V,1
W,Không nâng cấp
X,14.0 inch
Y,OLED
Z,2880 x 1800 Pixels
AA,LED
AB,90 Hz
AC,OLED
AD,400 nits
AE,16:10
AF,1000:1
AG,Không
AH,AMD
AI,Radeon
AJ,
AK,Share
AL,
AM,
AN,
AO,SSD
AP,
AQ,1
AR,0
AS,M2. PCIe
AT,512 GB
AU,"1 HDMI, 1 Jack 3.5 mm"
AV,802.11 ax
AW,v5.0
AX,HD Webcam (720p Webcam)
AY,1
AZ,Backlit Chiclet Keyboard
BA,Có
BB,LED
BC,Trắng
BD,3 Cell
BE,90 W
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,100% DCI-P3
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,Asus SonicMaster stereo
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
